1006,1006000610,응암순환(상선)
1006,1006000611,역촌
1006,1006000612,불광
1006,1006000613,독바위
1006,1006000614,연신내
1006,1006000615,구산
1006,1006000616,새절(신사)
1006,1006000617,증산(명지대앞)
1006,1006000618,디지털미디어시티
1006,1006000619,월드컵경기장(성산)
1006,1006000620,마포구청
1006,1006000621,망원
1006,1006000622,합정
1006,1006000623,상수
1006,1006000624,광흥창
1006,1006000625,대흥(서강대앞)
1006,1006000626,공덕
1006,1006000627,효창공원앞
1006,1006000628,삼각지
1006,1006000629,녹사평
1006,1006000630,이태원
1006,1006000631,한강진
1006,1006000632,버티고개
1006,1006000633,약수
1006,1006000634,청구
1006,1006000635,신당
1006,1006000636,동묘앞
1006,1006000637,창신
1006,1006000638,보문
1006,1006000639,안암(고대병원앞)
1006,1006000640,고려대
1006,1006000641,월곡(동덕여대)
1006,1006000642,상월곡(한국과학기술연구원)
1006,1006000643,돌곶이
1006,1006000644,석계
1006,1006000645,태릉입구
1006,1006000646,화랑대(서울여대입구)
1006,1006000647,봉화산
